Study_ID,Subject,Injury,Session,ChoiceOption,ChoiceCount,TotChoice,PctChoice
CCI-A_AQ,CCI-A_AQ-25,TBI,1,1,0,6,0
CCI-A_AQ,CCI-A_AQ-25,TBI,1,3,3,6,50
CCI-A_AQ,CCI-A_AQ-25,TBI,1,4,2,6,33.33333333
CCI-A_AQ,CCI-A_AQ-25,TBI,1,2,1,6,16.66666667
CCI-A_AQ,CCI-A_AQ-26,Sham,1,1,8,87,9.195402299
CCI-A_AQ,CCI-A_AQ-26,Sham,1,3,3,87,3.448275862
CCI-A_AQ,CCI-A_AQ-26,Sham,1,4,11,87,12.64367816
CCI-A_AQ,CCI-A_AQ-26,Sham,1,2,65,87,74.71264368
CCI-A_AQ,CCI-A_AQ-28,TBI,1,3,4,90,4.444444444
CCI-A_AQ,CCI-A_AQ-28,TBI,1,2,33,90,36.66666667
CCI-A_AQ,CCI-A_AQ-28,TBI,1,4,9,90,10
CCI-A_AQ,CCI-A_AQ-28,TBI,1,1,44,90,48.88888889
CCI-A_AQ,CCI-A_AQ-29,TBI,1,2,11,56,19.64285714
CCI-A_AQ,CCI-A_AQ-29,TBI,1,4,14,56,25
CCI-A_AQ,CCI-A_AQ-29,TBI,1,1,17,56,30.35714286
CCI-A_AQ,CCI-A_AQ-29,TBI,1,3,14,56,25
CCI-A_AQ,CCI-A_AQ-30,Sham,1,2,31,85,36.47058824
CCI-A_AQ,CCI-A_AQ-30,Sham,1,3,11,85,12.94117647
CCI-A_AQ,CCI-A_AQ-30,Sham,1,4,13,85,15.29411765
CCI-A_AQ,CCI-A_AQ-30,Sham,1,1,30,85,35.29411765
CCI-A_AQ,CCI-A_AQ-31,TBI,1,3,6,37,16.21621622
CCI-A_AQ,CCI-A_AQ-31,TBI,1,2,23,37,62.16216216
CCI-A_AQ,CCI-A_AQ-31,TBI,1,1,4,37,10.81081081
CCI-A_AQ,CCI-A_AQ-31,TBI,1,4,4,37,10.81081081
CCI-A_AQ,CCI-A_AQ-32,Sham,1,4,8,112,7.142857143
CCI-A_AQ,CCI-A_AQ-32,Sham,1,3,8,112,7.142857143
CCI-A_AQ,CCI-A_AQ-32,Sham,1,1,21,112,18.75
CCI-A_AQ,CCI-A_AQ-32,Sham,1,2,75,112,66.96428571
CCI-A_AQ,CCI-A_AQ-33,TBI,1,1,32,72,44.44444444
CCI-A_AQ,CCI-A_AQ-33,TBI,1,3,6,72,8.333333333
CCI-A_AQ,CCI-A_AQ-33,TBI,1,2,7,72,9.722222222
CCI-A_AQ,CCI-A_AQ-33,TBI,1,4,27,72,37.5
CCI-A_AQ,CCI-A_AQ-34,TBI,1,1,37,82,45.12195122
CCI-A_AQ,CCI-A_AQ-34,TBI,1,4,10,82,12.19512195
CCI-A_AQ,CCI-A_AQ-34,TBI,1,2,22,82,26.82926829
CCI-A_AQ,CCI-A_AQ-34,TBI,1,3,13,82,15.85365854
CCI-A_AQ,CCI-A_AQ-35,Sham,1,4,14,81,17.28395062
CCI-A_AQ,CCI-A_AQ-35,Sham,1,3,5,81,6.172839506
CCI-A_AQ,CCI-A_AQ-35,Sham,1,2,42,81,51.85185185
CCI-A_AQ,CCI-A_AQ-35,Sham,1,1,20,81,24.69135802
CCI-A_AQ,CCI-A_AQ-36,Sham,1,3,8,95,8.421052632
CCI-A_AQ,CCI-A_AQ-36,Sham,1,4,6,95,6.315789474
CCI-A_AQ,CCI-A_AQ-36,Sham,1,2,79,95,83.15789474
CCI-A_AQ,CCI-A_AQ-36,Sham,1,1,2,95,2.105263158
CCI-A_AQ,CCI-A_AQ-37,Sham,1,3,15,90,16.66666667
CCI-A_AQ,CCI-A_AQ-37,Sham,1,4,4,90,4.444444444
CCI-A_AQ,CCI-A_AQ-37,Sham,1,2,22,90,24.44444444
CCI-A_AQ,CCI-A_AQ-37,Sham,1,1,49,90,54.44444444
CCI-A_AQ,CCI-A_AQ-38,Sham,1,2,44,90,48.88888889
CCI-A_AQ,CCI-A_AQ-38,Sham,1,4,1,90,1.111111111
CCI-A_AQ,CCI-A_AQ-38,Sham,1,1,25,90,27.77777778
CCI-A_AQ,CCI-A_AQ-38,Sham,1,3,20,90,22.22222222
CCI-A_AQ,CCI-A_AQ-40,TBI,1,4,4,59,6.779661017
CCI-A_AQ,CCI-A_AQ-40,TBI,1,2,34,59,57.62711864
CCI-A_AQ,CCI-A_AQ-40,TBI,1,3,5,59,8.474576271
CCI-A_AQ,CCI-A_AQ-40,TBI,1,1,16,59,27.11864407
CCI-A_AQ,CCI-A_AQ-42,Sham,1,4,13,103,12.62135922
CCI-A_AQ,CCI-A_AQ-42,Sham,1,2,77,103,74.75728155
CCI-A_AQ,CCI-A_AQ-42,Sham,1,3,11,103,10.67961165
CCI-A_AQ,CCI-A_AQ-42,Sham,1,1,2,103,1.941747573
CCI-A_AQ,CCI-A_AQ-43,Sham,1,2,27,56,48.21428571
CCI-A_AQ,CCI-A_AQ-43,Sham,1,1,24,56,42.85714286
CCI-A_AQ,CCI-A_AQ-43,Sham,1,4,2,56,3.571428571
CCI-A_AQ,CCI-A_AQ-43,Sham,1,3,3,56,5.357142857
CCI-A_AQ,CCI-A_AQ-44,TBI,1,4,6,118,5.084745763
CCI-A_AQ,CCI-A_AQ-44,TBI,1,3,4,118,3.389830508
CCI-A_AQ,CCI-A_AQ-44,TBI,1,1,75,118,63.55932203
CCI-A_AQ,CCI-A_AQ-44,TBI,1,2,33,118,27.96610169
CCI-A_AQ,CCI-A_AQ-45,TBI,1,4,11,31,35.48387097
CCI-A_AQ,CCI-A_AQ-45,TBI,1,2,7,31,22.58064516
CCI-A_AQ,CCI-A_AQ-45,TBI,1,3,7,31,22.58064516
CCI-A_AQ,CCI-A_AQ-45,TBI,1,1,6,31,19.35483871
CCI-A_AQ,CCI-A_AQ-46,Sham,1,3,16,122,13.1147541
CCI-A_AQ,CCI-A_AQ-46,Sham,1,2,31,122,25.40983607
CCI-A_AQ,CCI-A_AQ-46,Sham,1,1,45,122,36.8852459
CCI-A_AQ,CCI-A_AQ-46,Sham,1,4,30,122,24.59016393
CCI-A_AQ,CCI-A_AQ-47,TBI,1,3,27,88,30.68181818
CCI-A_AQ,CCI-A_AQ-47,TBI,1,1,33,88,37.5
CCI-A_AQ,CCI-A_AQ-47,TBI,1,4,18,88,20.45454545
CCI-A_AQ,CCI-A_AQ-47,TBI,1,2,10,88,11.36363636
CCI-A_AQ,CCI-A_AQ-48,Sham,1,2,105,122,86.06557377
